127.0.0.1 - - [13/Apr/2023:22:14:41 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:14:42 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:14:42 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:14:42 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 200 237026
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:14:42 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:14:57 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:15:04 -0500] "POST /proyectoLP_2023/ControladorPerfil?accion=Ingresar HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:15:11 -0500] "POST /proyectoLP_2023/ControladorPerfil?accion=Ingresar HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:15:28 -0500] "GET /proyectoLP_2023/img/videongr.mp4 HTTP/1.1" 206 31135911
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:15:56 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=listarInventarios HTTP/1.1" 200 21011
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:15:59 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:16:01 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 22577
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:16:01 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:19:07 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:19:09 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 23308
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:19:09 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:25:00 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:25:02 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 23308
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:25:02 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:25:38 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:25:40 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 23308
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:25:40 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:27:36 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:27:41 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 23426
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:27:41 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:39:37 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:39:47 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 23426
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:39:47 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:40:23 -0500] "POST /proyectoLP_2023/ControladorInventario?accion=nuevoInventario HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:40:23 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=listarInventarios HTTP/1.1" 200 22354
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:43:48 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:43:52 -0500] "GET /proyectoLP_2023/ControladorProveedor?accion=registrarProveedor HTTP/1.1" 200 21102
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:43:52 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:43:57 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=registrarInventario HTTP/1.1" 200 23426
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:43:57 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:44:11 -0500] "POST /proyectoLP_2023/ControladorInventario?accion=nuevoInventario HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:44:11 -0500] "GET /proyectoLP_2023/ControladorInventario?accion=listarInventarios HTTP/1.1" 200 23694
