127.0.0.1 - - [12/Apr/2023:22:51:43 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:51:44 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:51:44 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:51:44 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 200 237026
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:51:44 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:00 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:00 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:00 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:00 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:00 -0500] "GET /proyectoLP_2023/favicon.ico HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:11 -0500] "POST /proyectoLP_2023/ControladorPerfil?accion=Ingresar HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:11 -0500] "GET /proyectoLP_2023/css/mainPrincipal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:11 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:11 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:11 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /proyectoLP_2023/img/DSC_6826.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /proyectoLP_2023/img/DSC_0267.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /proyectoLP_2023/img/DSC_9554.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /proyectoLP_2023/img/videongr.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:12 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:18 -0500] "GET /proyectoLP_2023/ControladorProveedor?accion=listarProveedores HTTP/1.1" 200 34420
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:19 -0500] "GET /proyectoLP_2023/css/dataTableGlobal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:19 -0500] "GET /proyectoLP_2023/img/sss.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:25 -0500] "GET /proyectoLP_2023/ControladorEquipo?accion=listarEquipos HTTP/1.1" 200 33875
0:0:0:0:0:0:0:1 - - [12/Apr/2023:22:52:39 -0500] "GET /proyectoLP_2023/img/videongr.mp4 HTTP/1.1" 206 33888423
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:26 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:26 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:26 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 200 237026
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:26 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:27 -0500] "GET /proyectoLP_2023/favicon.ico HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "POST /proyectoLP_2023/ControladorPerfil?accion=Ingresar HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/css/mainPrincipal.css HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 200 19165
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 200 18309
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/videongr.mp4 HTTP/1.1" 206 52107431
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/DSC_0267.webp HTTP/1.1" 200 167574
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 200 5669
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/DSC_9554.webp HTTP/1.1" 200 104592
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [12/Apr/2023:23:23:38 -0500] "GET /proyectoLP_2023/img/DSC_6826.webp HTTP/1.1" 200 160196
