0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37479
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:00 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37479
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:20 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37479
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:26 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37479
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /proyectoLP_2023/css/listadoEmpleados.css HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:51:33 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37479
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:52:34 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37479
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:53:16 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:54:24 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37486
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:54:24 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:54:24 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:54:24 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
