127.0.0.1 - - [29/Mar/2023:13:45:37 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/RegistrarEmpleado.jsp HTTP/1.1" 200 23015
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/css/nuevoEmpleado.css HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 200 19165
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 200 5669
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 200 18309
0:0:0:0:0:0:0:1 - - [29/Mar/2023:13:45:38 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:57 -0500] "GET /proyectoLP_2023/RegistrarEmpleado.jsp HTTP/1.1" 200 23015
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/css/nuevoEmpleado.css HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:08:58 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:09:00 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=perfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:09:00 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19834
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:09:00 -0500] "GET /proyectoLP_2023/css/mainPrincipal.css HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:09:01 -0500] "GET /proyectoLP_2023/img/DSC_6826.webp HTTP/1.1" 200 160196
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:09:01 -0500] "GET /proyectoLP_2023/img/DSC_0267.webp HTTP/1.1" 200 167574
0:0:0:0:0:0:0:1 - - [29/Mar/2023:14:09:01 -0500] "GET /proyectoLP_2023/img/DSC_9554.webp HTTP/1.1" 200 104592
