127.0.0.1 - - [01/Apr/2023:00:08:41 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:42 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:42 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:42 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:42 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 200 237026
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:53 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:53 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:53 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:53 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:53 -0500] "GET /proyectoLP_2023/favicon.ico HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "POST /proyectoLP_2023/ControladorUsuario HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/css/mainPrincipal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/DSC_6826.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/DSC_0267.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/DSC_9554.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/videongr.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:08:59 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:13 -0500] "GET /proyectoLP_2023/ControladorProveedor?accion=registrarProveedor HTTP/1.1" 200 21054
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:13 -0500] "GET /proyectoLP_2023/css/nuevoEmpleado.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:13 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:25 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 50170
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:25 -0500] "GET /proyectoLP_2023/css/listadoEmpleados.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:40 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=eliminarEmpleado&cod=24 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:40 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 48027
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:09:42 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 48027
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:11:41 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 48027
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:11:43 -0500] "GET /proyectoLP_2023/ControladorProveedor?accion=listarProveedores HTTP/1.1" 200 41491
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:11:43 -0500] "GET /proyectoLP_2023/css/dataTableGlobal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:11:43 -0500] "GET /proyectoLP_2023/img/sss.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:12:51 -0500] "GET /proyectoLP_2023/ControladorProveedor?accion=listarProveedores HTTP/1.1" 200 41491
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:13:57 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=registrarEmpleado HTTP/1.1" 200 23211
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:13:57 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:15:38 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=nuevoEmpleado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:15:38 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 50163
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:15:55 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=leerEmpleado&cod=37 HTTP/1.1" 200 23938
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:15:55 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:04 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=actualizarEmpleado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:04 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 50163
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:20 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=leerEmpleado&cod=37 HTTP/1.1" 200 23938
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:20 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:34 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=actualizarEmpleado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:34 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 50173
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:59 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=eliminarEmpleado&cod=37 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:16:59 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 48027
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:17:00 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 48027
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:17:06 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=eliminarEmpleado&cod=36 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:17:06 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 45879
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:17:08 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 45879
0:0:0:0:0:0:0:1 - - [01/Apr/2023:00:19:10 -0500] "GET /proyectoLP_2023/ControladorUsuario?accion=Salir HTTP/1.1" 200 3090
